,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2023-08-06,12:00,Championship,Matchweek 1,Sun,Home,W,2.0,1.0,Coventry City,1.5,1.8,65.0,31763.0,Jamie Vardy,4-3-3,Darren Bond,Match Report,,20,7,17.0,1.0,0,0,2023,Leicester City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,W,1.0,0.0,Huddersfield,1.4,1.2,69.0,19541.0,Ricardo Pereira,4-3-3,David Webb,Match Report,,17,6,20.0,0.0,0,0,2023,Leicester City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,W,2.0,1.0,Cardiff City,0.7,1.1,65.0,31595.0,Ricardo Pereira,4-3-3,Graham Scott,Match Report,,15,6,18.9,0.0,0,0,2023,Leicester City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,2.0,1.0,Rotherham Utd,1.4,0.6,63.0,11418.0,Ricardo Pereira,4-3-3,Simon Hooper,Match Report,,15,7,16.5,0.0,0,0,2023,Leicester City
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,L,0.0,1.0,Hull City,1.2,0.3,64.0,31318.0,Ricardo Pereira,3-4-3,John Busby,Match Report,,21,1,20.0,1.0,0,0,2023,Leicester City
7,2023-09-15,20:00,Championship,Matchweek 6,Fri,Away,W,4.0,1.0,Southampton,4.1,1.6,45.0,28877.0,Jamie Vardy,4-3-3,Robert Madley,Match Report,,15,8,15.1,0.0,0,0,2023,Leicester City
8,2023-09-20,20:00,Championship,Matchweek 7,Wed,Away,W,2.0,0.0,Norwich City,2.3,0.9,57.0,26277.0,Hamza Choudhury,4-3-3,Graham Scott,Match Report,,9,2,14.5,0.0,1,1,2023,Leicester City
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,1.0,0.0,Bristol City,2.3,0.3,69.0,31674.0,Jamie Vardy,4-3-3,James Bell,Match Report,,18,6,15.1,1.0,1,1,2023,Leicester City
11,2023-10-01,12:00,Championship,Matchweek 9,Sun,Away,W,4.0,1.0,Blackburn,1.8,1.4,52.0,15937.0,Jamie Vardy,4-3-3,James Linington,Match Report,,10,3,15.7,0.0,1,1,2023,Leicester City
12,2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,3.0,0.0,Preston,1.5,0.4,75.0,30380.0,Jamie Vardy,4-3-3,Thomas Bramall,Match Report,,9,4,14.8,0.0,0,0,2023,Leicester City
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,W,2.0,0.0,Stoke City,2.4,0.2,73.0,31589.0,Ricardo Pereira,4-3-3,Geoff Eltringham,Match Report,,14,6,14.1,0.0,0,0,2023,Leicester City
0,2023-08-06,17:00,Championship,Matchweek 1,Sun,Away,W,2,1,Sunderland,1.2,1.9,34.0,44407.0,Sam Morsy,4-2-3-1,Samuel Barrott,Match Report,,13,4,19.5,1.0,0,0,2023,Ipswich Town
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,W,2,0,Stoke City,2.0,0.6,44.0,29006.0,Sam Morsy,4-2-3-1,Joshua Smith,Match Report,,22,10,19.0,0.0,0,0,2023,Ipswich Town
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,W,1,0,QPR,1.3,0.9,61.0,16790.0,Sam Morsy,4-2-3-1,Geoff Eltringham,Match Report,,17,3,18.4,0.0,0,0,2023,Ipswich Town
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,L,3,4,Leeds United,2.4,1.6,58.0,29606.0,Sam Morsy,4-2-3-1,Robert Madley,Match Report,,23,7,14.6,0.0,0,0,2023,Ipswich Town
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,W,3,2,Cardiff City,2.7,2.1,56.0,28011.0,Sam Morsy,4-2-3-1,Gavin Ward,Match Report,,18,7,16.8,1.0,0,0,2023,Ipswich Town
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,W,1,0,Sheffield Weds,1.8,0.5,52.0,25938.0,Sam Morsy,4-2-3-1,James Linington,Match Report,,13,6,19.2,1.0,0,0,2023,Ipswich Town
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Away,W,1,0,Southampton,0.7,0.8,42.0,27265.0,Sam Morsy,4-2-3-1,Joshua Smith,Match Report,,11,3,20.9,0.0,0,0,2023,Ipswich Town
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,4,3,Blackburn,2.9,0.9,40.0,28792.0,Sam Morsy,4-2-3-1,Keith Stroud,Match Report,,29,11,16.2,1.0,0,0,2023,Ipswich Town
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,D,1,1,Huddersfield,1.3,1.2,60.0,20000.0,Lee Evans,4-2-3-1,Geoff Eltringham,Match Report,,21,6,16.4,0.0,0,0,2023,Ipswich Town
12,2023-10-03,19:45,Championship,Matchweek 10,Tue,Home,W,3,0,Hull City,1.2,0.9,50.0,27070.0,Sam Morsy,4-2-3-1,Matt Donohue,Match Report,,14,6,15.9,0.0,0,0,2023,Ipswich Town
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,W,4,2,Preston,2.4,0.3,55.0,29018.0,Sam Morsy,4-2-3-1,David Webb,Match Report,,16,10,20.0,1.0,0,0,2023,Ipswich Town
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Away,D,1,1,Bristol City,1.3,0.9,53.0,29359.0,Alan Browne,3-5-1-1,David Webb,Match Report,,11,3,16.4,0.0,0,0,2023,Preston North End
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,W,2,1,Sunderland,0.7,1.6,35.0,19892.0,Alan Browne,3-4-3,James Linington,Match Report,,11,2,19.8,0.0,0,0,2023,Preston North End
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,W,1,0,Sheffield Weds,0.4,0.5,47.0,25138.0,Alan Browne,3-4-3,Jeremy Simpson,Match Report,,5,2,14.7,1.0,0,0,2023,Preston North End
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,W,2,1,Swansea City,0.6,0.3,41.0,14464.0,Alan Browne,3-4-3,Joshua Smith,Match Report,,11,3,20.6,0.0,0,0,2023,Preston North End
5,2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,W,2,0,Stoke City,1.9,1.4,31.0,22957.0,Alan Browne,3-4-3,Matt Donohue,Match Report,,6,2,16.3,0.0,1,1,2023,Preston North End
6,2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,W,2,1,Plymouth Argyle,1.7,1.8,34.0,17542.0,Alan Browne,3-4-3,Gavin Ward,Match Report,,9,5,16.9,0.0,0,0,2023,Preston North End
7,2023-09-19,19:45,Championship,Matchweek 7,Tue,Home,W,2,1,Birmingham City,0.6,1.1,40.0,15838.0,Alan Browne,3-4-3,Dean Whitestone,Match Report,,10,3,17.4,0.0,0,0,2023,Preston North End
8,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,D,1,1,Rotherham Utd,1.8,0.1,57.0,11434.0,Alan Browne,3-4-3,Samuel Allison,Match Report,,14,5,14.0,0.0,0,0,2023,Preston North End
9,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,L,0,4,West Brom,0.4,1.5,53.0,16658.0,Alan Browne,3-4-3,Joshua Smith,Match Report,,5,1,19.4,0.0,0,0,2023,Preston North End
10,2023-10-04,19:45,Championship,Matchweek 10,Wed,Away,L,0,3,Leicester City,0.4,1.5,25.0,30380.0,Ben Whiteman,4-4-1-1,Thomas Bramall,Match Report,,6,1,19.3,0.0,0,0,2023,Preston North End
11,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,L,2,4,Ipswich Town,0.3,2.4,45.0,29018.0,Alan Browne,4-3-2-1,David Webb,Match Report,,8,2,21.0,0.0,0,0,2023,Preston North End
0,2023-08-06,17:00,Championship,Matchweek 1,Sun,Home,L,1,2,Ipswich Town,1.9,1.2,66.0,44407.0,Luke O'Nien,4-2-3-1,Samuel Barrott,Match Report,,20,4,15.5,0.0,0,0,2023,Sunderland
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,L,1,2,Preston,1.6,0.7,65.0,19892.0,Luke O'Nien,4-2-3-1,James Linington,Match Report,,13,3,20.7,0.0,1,1,2023,Sunderland
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,W,2,1,Rotherham Utd,1.4,0.6,67.0,40688.0,Luke O'Nien,4-2-3-1,Gavin Ward,Match Report,,11,4,18.5,0.0,0,0,2023,Sunderland
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,D,0,0,Coventry City,0.7,1.6,48.0,25714.0,Luke O'Nien,4-2-3-1,Keith Stroud,Match Report,,15,2,19.7,0.0,0,0,2023,Sunderland
5,2023-09-02,12:30,Championship,Matchweek 5,Sat,Home,W,5,0,Southampton,1.9,0.8,33.0,41459.0,Luke O'Nien,4-2-3-1,David Coote,Match Report,,18,10,18.4,1.0,0,0,2023,Sunderland
6,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,W,3,1,QPR,2.8,0.3,71.0,16383.0,Luke O'Nien,4-2-3-1,Dean Whitestone,Match Report,,22,8,15.5,0.0,0,0,2023,Sunderland
7,2023-09-20,19:45,Championship,Matchweek 7,Wed,Away,W,3,1,Blackburn,1.6,2.8,42.0,15621.0,Luke O'Nien,4-1-4-1,John Busby,Match Report,,12,3,17.9,0.0,1,1,2023,Sunderland
8,2023-09-24,15:00,Championship,Matchweek 8,Sun,Home,L,0,1,Cardiff City,1.2,1.7,65.0,41581.0,Luke O'Nien,4-1-4-1,Steve Martin,Match Report,,16,6,18.6,1.0,0,0,2023,Sunderland
9,2023-09-29,20:00,Championship,Matchweek 9,Fri,Away,W,3,0,Sheffield Weds,1.6,0.5,68.0,25987.0,Luke O'Nien,4-1-4-1,Samuel Barrott,Match Report,,11,5,27.2,2.0,1,1,2023,Sunderland
10,2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,2,0,Watford,1.2,0.4,58.0,38120.0,Luke O'Nien,4-1-4-1,Andrew Davies,Match Report,,9,3,16.7,1.0,0,0,2023,Sunderland
11,2023-10-07,12:30,Championship,Matchweek 11,Sat,Home,L,0,4,Middlesbrough,0.5,2.4,48.0,43584.0,Luke O'Nien,4-4-2,Jarred Gillett,Match Report,,9,3,21.0,1.0,0,0,2023,Sunderland
0,2023-08-06,14:30,Championship,Matchweek 1,Sun,Home,D,2,2,Cardiff City,1.7,1.2,71.0,36368.0,Liam Cooper,4-2-3-1,Joshua Smith,Match Report,,25,6,15.4,1.0,0,0,2023,Leeds United
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,L,0,1,Birmingham City,0.4,1.6,59.0,20451.0,Luke Ayling,4-2-3-1,Tim Robinson,Match Report,,7,1,13.9,0.0,0,0,2023,Leeds United
3,2023-08-18,20:00,Championship,Matchweek 3,Fri,Home,D,1,1,West Brom,1.8,0.3,58.0,33890.0,Luke Ayling,4-2-3-1,Matt Donohue,Match Report,,16,4,14.7,1.0,0,0,2023,Leeds United
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,4,3,Ipswich Town,1.6,2.4,42.0,29606.0,Luke Ayling,4-4-2,Robert Madley,Match Report,,14,9,14.7,0.0,0,0,2023,Leeds United
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,D,0,0,Sheffield Weds,1.2,0.9,66.0,36484.0,Luke Ayling,4-2-3-1,Dean Whitestone,Match Report,,15,3,19.1,1.0,0,0,2023,Leeds United
7,2023-09-17,12:00,Championship,Matchweek 6,Sun,Away,W,3,0,Millwall,2.3,0.4,52.0,17909.0,Luke Ayling,4-2-3-1,Chris Kavanagh,Match Report,,14,3,14.7,1.0,0,0,2023,Leeds United
8,2023-09-20,19:45,Championship,Matchweek 7,Wed,Away,D,0,0,Hull City,1.5,1.3,43.0,24221.0,Luke Ayling,4-4-2,Stephen Martin,Match Report,,17,4,17.8,0.0,0,0,2023,Leeds United
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,3,0,Watford,2.6,0.2,59.0,36236.0,Liam Cooper,4-2-3-1,Jeremy Simpson,Match Report,,17,10,18.1,1.0,0,0,2023,Leeds United
10,2023-09-30,12:30,Championship,Matchweek 9,Sat,Away,L,1,3,Southampton,0.9,1.5,53.0,30372.0,Liam Cooper,4-2-3-1,John Brooks,Match Report,,15,5,15.7,0.0,0,0,2023,Leeds United
11,2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,1,0,QPR,2.0,0.3,65.0,32663.0,Luke Ayling,4-2-3-1,David Webb,Match Report,,16,3,15.9,1.0,0,0,2023,Leeds United
12,2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,W,2,1,Bristol City,2.5,0.5,51.0,36386.0,Pascal Struijk,4-2-3-1,Keith Stroud,Match Report,,21,8,15.9,0.0,0,0,2023,Leeds United
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Away,D,1.0,1.0,Swansea City,0.8,1.3,41.0,18051.0,Dion Sanderson,4-2-3-1,James Linington,Match Report,,11,5,19.1,0.0,0,0,2023,Birmingham City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,W,1.0,0.0,Leeds United,1.6,0.4,41.0,20451.0,Dion Sanderson,4-2-3-1,Tim Robinson,Match Report,,9,1,17.5,0.0,1,1,2023,Birmingham City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,W,2.0,0.0,Bristol City,1.3,0.8,36.0,22397.0,Dion Sanderson,4-2-3-1,Samuel Barrott,Match Report,,16,5,16.4,0.0,0,0,2023,Birmingham City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,W,2.0,1.0,Plymouth Argyle,2.2,1.6,37.0,20685.0,Dion Sanderson,4-2-3-1,John Busby,Match Report,,13,4,14.6,0.0,0,0,2023,Birmingham City
6,2023-09-02,12:30,Championship,Matchweek 5,Sat,Home,D,1.0,1.0,Millwall,1.7,0.5,56.0,18710.0,Dion Sanderson,4-4-2,Joshua Smith,Match Report,,15,3,16.6,0.0,0,1,2023,Birmingham City
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,L,0.0,2.0,Watford,0.8,0.4,32.0,18932.0,Dion Sanderson,4-2-3-1,Keith Stroud,Match Report,,8,3,19.7,0.0,0,0,2023,Birmingham City
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Away,L,1.0,2.0,Preston,1.1,0.6,60.0,15838.0,Dion Sanderson,4-2-3-1,Dean Whitestone,Match Report,,16,4,19.8,1.0,0,0,2023,Birmingham City
9,2023-09-22,20:00,Championship,Matchweek 8,Fri,Home,D,0.0,0.0,QPR,1.1,1.0,54.0,19803.0,Dion Sanderson,4-2-3-1,Matt Donohue,Match Report,,12,4,15.0,0.0,0,0,2023,Birmingham City
10,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,L,0.0,2.0,Norwich City,1.1,1.3,43.0,26231.0,Dion Sanderson,4-2-3-1,Gavin Ward,Match Report,,12,2,18.9,0.0,0,0,2023,Birmingham City
11,2023-10-03,19:45,Championship,Matchweek 10,Tue,Home,W,4.0,1.0,Huddersfield,1.7,2.1,57.0,15944.0,Dion Sanderson,4-2-3-1,Samuel Allison,Match Report,,12,5,17.0,0.0,0,0,2023,Birmingham City
12,2023-10-06,20:00,Championship,Matchweek 11,Fri,Home,W,3.0,1.0,West Brom,1.5,1.2,41.0,21495.0,Dion Sanderson,4-2-3-1,James Linington,Match Report,,10,2,21.8,1.0,1,1,2023,Birmingham City
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,2.0,1.0,Hull City,2.6,0.4,58.0,25892.0,Kenny McLean,4-1-2-1-2◆,Keith Stroud,Match Report,,28,4,14.4,0.0,0,0,2023,Norwich City
1,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,D,4.0,4.0,Southampton,2.0,3.7,31.0,30113.0,Kenny McLean,4-3-1-2,Darren England,Match Report,,15,6,15.4,1.0,0,0,2023,Norwich City
3,2023-08-20,12:00,Championship,Matchweek 3,Sun,Home,W,3.0,1.0,Millwall,1.7,0.5,55.0,26218.0,Kenny McLean,4-2-3-1,Tony Harrington,Match Report,,20,5,16.7,1.0,0,0,2023,Norwich City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,4.0,0.0,Huddersfield,2.5,1.0,56.0,18708.0,Kenny McLean,4-2-3-1,Dean Whitestone,Match Report,,8,4,15.4,0.0,1,1,2023,Norwich City
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,L,1.0,2.0,Rotherham Utd,1.5,0.6,62.0,11016.0,Kenny McLean,4-2-3-1,Samuel Barrott,Match Report,,17,5,16.3,0.0,0,0,2023,Norwich City
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,W,1.0,0.0,Stoke City,1.2,1.2,45.0,25816.0,Kenny McLean,4-2-3-1,Oliver Langford,Match Report,,13,5,15.5,0.0,0,0,2023,Norwich City
8,2023-09-20,20:00,Championship,Matchweek 7,Wed,Home,L,0.0,2.0,Leicester City,0.9,2.3,43.0,26277.0,Kenny McLean,4-2-3-1,Graham Scott,Match Report,,15,2,17.7,1.0,0,0,2023,Norwich City
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,L,2.0,6.0,Plymouth Argyle,1.9,3.2,69.0,16469.0,Kenny McLean,4-2-3-1,Andrew Kitchen,Match Report,,10,5,19.9,0.0,1,1,2023,Norwich City
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,W,2.0,0.0,Birmingham City,1.3,1.1,57.0,26231.0,Kenny McLean,4-2-3-1,Gavin Ward,Match Report,,16,4,17.8,0.0,0,0,2023,Norwich City
12,2023-10-04,19:45,Championship,Matchweek 10,Wed,Away,L,1.0,2.0,Swansea City,1.6,2.5,45.0,14512.0,Kenny McLean,4-2-3-1,Tom Nield,Match Report,,14,5,13.0,0.0,0,0,2023,Norwich City
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,D,1.0,1.0,Coventry City,0.6,1.7,43.0,26548.0,Kenny McLean,4-2-3-1,Dean Whitestone,Match Report,,6,2,20.6,0.0,0,0,2023,Norwich City
0,2023-08-06,14:30,Championship,Matchweek 1,Sun,Away,D,2,2,Leeds United,1.2,1.7,29.0,36368.0,Joe Ralls,3-4-3,Joshua Smith,Match Report,,7,2,14.6,0.0,0,0,2023,Cardiff City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,L,1,2,QPR,2.0,1.3,64.0,21230.0,Aaron Ramsey,4-2-3-1,Oliver Langford,Match Report,,14,3,14.3,0.0,0,0,2023,Cardiff City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,L,1,2,Leicester City,1.1,0.7,35.0,31595.0,Joe Ralls,4-2-3-1,Graham Scott,Match Report,,10,4,19.6,0.0,0,0,2023,Cardiff City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,W,2,1,Sheffield Weds,1.9,0.8,58.0,21058.0,Joe Ralls,4-2-3-1,Darren Bond,Match Report,,11,3,18.8,0.0,1,1,2023,Cardiff City
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,L,2,3,Ipswich Town,2.1,2.7,44.0,28011.0,Joe Ralls,4-2-3-1,Gavin Ward,Match Report,,13,6,12.4,0.0,0,0,2023,Cardiff City
7,2023-09-16,19:45,Championship,Matchweek 6,Sat,Home,W,2,0,Swansea City,1.5,0.6,49.0,28648.0,Aaron Ramsey,4-2-3-1,Samuel Barrott,Match Report,,12,5,21.3,0.0,1,1,2023,Cardiff City
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Home,W,3,2,Coventry City,0.6,0.9,36.0,18297.0,Joe Ralls,4-3-3,Samuel Allison,Match Report,,8,3,17.7,0.0,0,0,2023,Cardiff City
9,2023-09-24,15:00,Championship,Matchweek 8,Sun,Away,W,1,0,Sunderland,1.7,1.2,35.0,41581.0,Joe Ralls,4-3-3,Steve Martin,Match Report,,7,2,16.7,0.0,0,0,2023,Cardiff City
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,W,2,0,Rotherham Utd,1.2,0.6,67.0,20136.0,Joe Ralls,4-3-3,Leigh Doughty,Match Report,,12,5,16.0,0.0,0,0,2023,Cardiff City
12,2023-10-03,19:45,Championship,Matchweek 10,Tue,Away,L,0,2,Middlesbrough,0.6,2.2,39.0,24276.0,Joe Ralls,4-3-3,Andy Madley,Match Report,,6,3,14.8,0.0,0,0,2023,Cardiff City
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,D,1,1,Watford,0.7,2.0,44.0,19804.0,Joe Ralls,4-3-3,Gavin Ward,Match Report,,8,2,15.7,0.0,0,0,2023,Cardiff City
